instance,seed,arm,objective,violations,RoomAgeMix,RoomSkillLevel,ContinuityOfCare,ExcessiveNurseWorkload,OpenOperatingTheater,SurgeonTransfer,PatientDelay,ElectiveUnscheduledPatients
i09,5,placebo,7044,0,400,182,2395,182,460,20,3405,0
i09,5,real,7152,0,150,169,2395,203,440,30,3765,0
i10,1,placebo,21550,0,375,1960,3095,290,460,0,2470,12900
i10,1,real,21550,0,375,1960,3095,290,460,0,2470,12900
i10,2,placebo,21540,0,380,1935,3085,330,460,0,2450,12900
i10,2,real,21540,0,380,1935,3085,330,460,0,2450,12900
i10,3,placebo,21555,0,375,1950,3155,270,460,0,2445,12900
i10,3,real,21555,0,375,1950,3155,270,460,0,2445,12900
i10,4,placebo,21575,0,375,2015,3120,230,460,0,2475,12900
i10,4,real,21575,0,375,2015,3120,230,460,0,2475,12900
i10,5,placebo,21575,0,375,2015,3120,230,460,0,2475,12900
i10,5,real,21575,0,375,2015,3120,230,460,0,2475,12900
i11,1,placebo,26025,0,3,81,341,0,570,0,530,24500
i11,1,real,26025,0,3,81,341,0,570,0,530,24500
i11,2,placebo,25995,0,9,87,334,0,570,0,495,24500
i11,2,real,25995,0,9,87,334,0,570,0,495,24500
i11,3,placebo,26004,0,2,78,339,0,570,0,515,24500
i11,3,real,26004,0,2,78,339,0,570,0,515,24500
i11,4,placebo,25967,0,20,62,330,0,570,0,485,24500
i11,4,real,25967,0,20,62,330,0,570,0,485,24500
i11,5,placebo,26018,0,11,82,340,0,570,0,515,24500
i11,5,real,26018,0,11,82,340,0,570,0,515,24500
i12,1,placebo,13513,0,78,2090,3100,1205,840,15,1185,5000
i12,1,real,13839,0,89,1760,3140,1125,840,15,1470,5400
i12,2,placebo,13546,0,81,1720,2890,1055,840,15,945,6000
i12,2,real,13679,0,89,1760,2970,945,810,15,1290,5800
i12,3,placebo,13337,0,72,1750,3060,825,840,10,1380,5400
i12,3,real,13576,0,81,1580,3040,1075,840,10,1350,5600
i12,4,placebo,13507,0,82,1850,3020,755,840,15,945,6000
i12,4,real,13649,0,74,1930,3045,700,840,15,1245,5800
i12,5,placebo,13529,0,84,1700,3020,970,840,15,900,6000
i12,5,real,13632,0,97,2090,3015,1295,840,15,1080,5200
i13,1,placebo,18020,0,440,319,2770,326,330,0,7335,6500
i13,1,real,18020,0,440,319,2770,326,330,0,7335,6500
i13,2,placebo,18017,0,435,307,2790,305,330,0,7350,6500
i13,2,real,18017,0,435,307,2790,305,330,0,7350,6500
i13,3,placebo,18020,0,440,319,2770,326,320,10,7335,6500
i13,3,real,18020,0,440,319,2770,326,320,10,7335,6500
i13,4,placebo,18020,0,440,319,2770,326,330,0,7335,6500
i13,4,real,18060,0,470,298,2760,367,320,10,7335,6500
i13,5,placebo,18000,0,435,304,2760,321,330,0,7350,6500
i13,5,real,17848,0,415,326,2800,322,350,0,7635,6000
i14,1,placebo,10203,0,89,344,3800,130,1200,5,785,3850
i14,1,real,10203,0,89,344,3800,130,1200,5,785,3850
i14,2,placebo,10171,0,89,377,3765,150,1200,5,735,3850
i14,2,real,10171,0,89,377,3765,150,1200,5,735,3850
i14,3,placebo,10085,0,78,322,3730,100,1150,5,850,3850
i14,3,real,10085,0,78,322,3730,100,1150,5,850,3850
i14,4,placebo,10216,0,76,354,3840,155,1150,6,785,3850
i14,4,real,10225,0,82,358,3795,115,1200,5,820,3850
i14,5,placebo,10213,0,71,332,3865,35,1200,5,855,3850
i14,5,real,10213,0,71,332,3865,35,1200,5,855,3850
i15,1,placebo,13476,0,126,1150,4355,340,330,35,4690,2450
i15,1,real,13697,0,147,1160,4555,370,330,25,4660,2450
i15,2,placebo,13589,0,104,820,4155,240,340,30,5100,2800
i15,2,real,14008,0,138,1285,4660,890,340,15,4230,2450
i15,3,placebo,13528,0,118,1120,4400,260,330,20,4830,2450
i15,3,real,13799,0,134,1165,4475,250,330,25,4620,2800
i15,4,placebo,13703,0,128,1275,4585,400,330,25,4510,2450
i15,4,real,13434,0,124,1160,4355,320,330,25,4670,2450
i15,5,placebo,13593,0,118,1060,4455,280,340,20,4870,2450
i15,5,real,13593,0,118,1060,4455,280,340,20,4870,2450
i16,1,placebo,11517,0,117,350,851,864,1400,30,2505,5400
i16,1,real,11517,0,117,350,851,864,1400,30,2505,5400
i16,2,placebo,11574,0,110,350,857,857,1400,20,2580,5400
i16,2,real,11574,0,110,350,857,857,1400,20,2580,5400
i16,3,placebo,11550,0,112,360,859,839,1400,30,2550,5400
i16,3,real,11550,0,112,360,859,839,1400,30,2550,5400
i16,4,placebo,11522,0,117,350,848,862,1400,25,2520,5400
i16,4,real,11522,0,117,350,848,862,1400,25,2520,5400
i16,5,placebo,11529,0,115,350,853,861,1400,30,2520,5400
i16,5,real,11529,0,115,350,853,861,1400,30,2520,5400
i17,1,placebo,47455,0,305,5350,10885,840,2100,60,11915,16000
i17,1,real,47755,0,410,5540,10810,1090,2190,55,11660,16000
i17,2,placebo,48315,0,410,5500,10710,1000,2130,40,12025,16500
i17,2,real,48430,0,470,6030,11200,970,2160,70,12030,15500
i17,3,placebo,47835,0,300,5550,10685,570,2160,50,12020,16500
i17,3,real,48320,0,330,5640,10925,1070,2190,65,11600,16500
i17,4,placebo,47450,0,195,5410,10710,800,2160,60,12115,16000
i17,4,real,47675,0,385,5910,10980,980,2130,75,11715,15500
i17,5,placebo,48170,0,260,5490,10885,1140,2160,60,12675,15500
i17,5,real,49575,0,425,7170,11850,1770,2100,55,11205,15000
i18,1,placebo,38304,0,630,139,813,20,750,2,2650,33300
i18,1,real,38304,0,630,139,813,20,750,2,2650,33300
i18,2,placebo,38171,0,500,129,820,20,750,2,2650,33300
i18,2,real,38171,0,500,129,820,20,750,2,2650,33300
i18,3,placebo,37897,0,230,141,814,10,750,2,2650,33300
i18,3,real,37897,0,230,141,814,10,750,2,2650,33300
i18,4,placebo,37972,0,310,137,793,30,750,2,2650,33300
i18,4,real,38185,0,510,122,831,20,750,2,2650,33300
i18,5,placebo,37853,0,180,138,823,10,750,2,2650,33300
i18,5,real,37853,0,180,138,823,10,750,2,2650,33300
i19,1,placebo,49235,0,195,2150,10885,1410,1920,130,10545,22000
i19,1,real,49404,0,164,2210,10500,1450,1980,120,10230,22750
i19,2,placebo,49610,0,280,2960,11365,2130,2160,110,13605,17000
i19,2,real,48614,0,204,1900,10350,1635,1890,140,9495,23000
i19,3,placebo,49666,0,291,2930,11535,2610,2130,90,13080,17000
i19,3,real,49660,0,290,2840,11450,2450,2130,90,13410,17000
i19,4,placebo,48363,0,178,1570,10195,1285,1890,130,10365,22750
i19,4,real,49021,0,206,2410,10480,1680,2010,150,11085,21000
i19,5,placebo,48285,0,180,2000,10215,1275,1950,120,9795,22750
i19,5,real,48342,0,212,1970,10295,1415,1920,170,10110,22250
i20,1,placebo,30123,0,81,2240,927,290,1400,5,3180,22000
i20,1,real,30123,0,81,2240,927,290,1400,5,3180,22000
i20,2,placebo,30100,0,79,2200,926,310,1400,5,3180,22000
i20,2,real,30075,0,80,2160,930,320,1400,5,3180,22000
i20,3,placebo,30091,0,80,2170,916,340,1400,5,3180,22000
i20,3,real,30091,0,80,2170,916,340,1400,5,3180,22000
i20,4,placebo,30086,0,80,2160,921,340,1400,5,3180,22000
i20,4,real,30086,0,80,2160,921,340,1400,5,3180,22000
i20,5,placebo,30110,0,81,2180,924,340,1400,5,3180,22000
i20,5,real,30110,0,81,2180,924,340,1400,5,3180,22000
i21,1,placebo,28904,0,182,2340,9345,625,2900,12,7000,6500
i21,1,real,28647,0,228,2960,9750,900,2950,14,6095,5750
i21,2,placebo,28648,0,200,2880,9365,750,3050,13,6140,6250
i21,2,real,28621,0,210,2905,9465,805,2900,16,6070,6250
i21,3,placebo,28625,0,231,2660,9375,925,2950,14,6220,6250
i21,3,real,28385,0,247,2940,9295,650,2850,13,6140,6250
i21,4,placebo,28572,0,183,2380,9040,625,3000,14,6830,6500
i21,4,real,28629,0,232,3000,9520,745,2900,12,6220,6000
i21,5,placebo,28659,0,247,2820,9755,715,2950,12,6160,6000
i21,5,real,28273,0,220,2835,9365,655,2900,13,6285,6000
i22,1,placebo,53734,0,268,1394,11765,1020,1640,17,6130,31500
i22,1,real,53734,0,268,1394,11765,1020,1640,17,6130,31500
i22,2,placebo,53325,0,264,1398,11615,1200,1640,18,6140,31050
i22,2,real,53325,0,264,1398,11615,1200,1640,18,6140,31050
i22,3,placebo,53797,0,259,1340,11770,1220,1640,18,6050,31500
i22,3,real,53797,0,259,1340,11770,1220,1640,18,6050,31500
i22,4,placebo,53825,0,260,1328,11740,1180,1660,17,6140,31500
i22,4,real,53825,0,260,1328,11740,1180,1660,17,6140,31500
i22,5,placebo,53050,0,290,1336,11835,1020,1680,19,6270,30600
i22,5,real,53050,0,290,1336,11835,1020,1680,19,6270,30600
i23,1,placebo,39328,0,274,160,8840,1583,710,6,8355,19400
i23,1,real,39328,0,274,160,8840,1583,710,6,8355,19400
i23,2,placebo,39390,0,299,170,8905,1545,710,6,8355,19400
i23,2,real,39390,0,299,170,8905,1545,710,6,8355,19400
i23,3,placebo,39468,0,271,170,8900,1611,710,6,8400,19400
i23,3,real,39468,0,271,170,8900,1611,710,6,8400,19400
i23,4,placebo,39284,0,291,190,8825,1507,710,6,8355,19400
i23,4,real,39284,0,291,190,8825,1507,710,6,8355,19400
i23,5,placebo,39379,0,279,200,8875,1549,700,6,8370,19400
i23,5,real,39379,0,279,200,8875,1549,700,6,8370,19400
i24,1,placebo,34488,0,220,418,2387,148,730,60,1825,28700
i24,1,real,34488,0,220,418,2387,148,730,60,1825,28700
i24,2,placebo,34503,0,222,412,2413,126,740,50,1840,28700
i24,2,real,34503,0,222,412,2413,126,740,50,1840,28700
i24,3,placebo,34541,0,250,431,2366,159,750,40,1845,28700
i24,3,real,34541,0,250,431,2366,159,750,40,1845,28700
i24,4,placebo,34459,0,193,411,2418,122,730,60,1825,28700
i24,4,real,34623,0,250,437,2427,109,740,50,1910,28700
i24,5,placebo,34578,0,255,436,2450,112,740,50,1835,28700
i24,5,real,36249,0,185,342,2211,46,730,60,3275,29400
i25,1,placebo,12470,0,140,381,5365,479,1060,40,2455,2550
i25,1,real,13390,0,670,390,5705,530,1060,30,2305,2700
i25,2,placebo,12495,0,190,381,5320,544,1080,40,2390,2550
i25,2,real,13308,0,685,369,5645,639,1080,50,2290,2550
i25,3,placebo,13321,0,740,381,5830,665,1060,50,2195,2400
i25,3,real,12752,0,75,396,5750,586,1080,40,2425,2400
i25,4,placebo,12477,0,55,351,5510,591,1080,40,2300,2550
i25,4,real,12486,0,75,392,5400,534,1060,35,2440,2550
i25,5,placebo,12865,0,110,430,5750,495,1080,40,2410,2550
